strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url	previous_study
camel_Riyadh_Ry141_2015_NC_028752_2015-03-XX	?	spike	?	NC_028752	2015-03-XX	Saudi Arabia	Asia	Saudi Arabia	BioProject: PRJNA485481	Sabir et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_028752	Co-circulation of three camel coronavirus species and recombination	Science 351 (6268), 81-84 (2016)	https://pubmed.ncbi.nlm.nih.gov/26678874	no
NC_002645_2021-08-17	?	spike	Human	NC_002645	2021-08-17	?	?	?	BioProject: PRJNA485481	Ziebuhr et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_002645	The autocatalytic release of a putative RNA virus transcription	J. Biol. Chem. 276 (35), 33220-33232 (2001)	https://pubmed.ncbi.nlm.nih.gov/11431476	no
hCoV-229E_Russia_SPE-RII-MH183861S_2024_PQ963848_2024-04-15	?	spike	Human	PQ963848	2024-04-15	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ963848	Direct Submission	Submitted (21-JAN-2025) Laboratory of molecular virology,	?	no
hCoV-229E_Russia_KDA-RII-MH204625S_2024_PQ963852_2024-07-17	?	spike	Human	PQ963852	2024-07-17	Russia: Krasnodar	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ963852	Direct Submission	Submitted (21-JAN-2025) Laboratory of molecular virology,	?	no
hCoV-229E_Russia_SPE-RII-25806S_2021_PQ616078_2021-02-09	?	spike	Human	PQ616078	2021-02-09	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616078	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-2076S_2019_PQ616083_2019-02-12	?	spike	Human	PQ616083	2019-02-12	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616083	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-634S_2019_PQ616086_2019-01-10	?	spike	Human	PQ616086	2019-01-10	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616086	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-956S_2019_PQ616087_2019-01-24	?	spike	Human	PQ616087	2019-01-24	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616087	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-1631S_2019_PQ616089_2019-02-04	?	spike	Human	PQ616089	2019-02-04	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616089	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-3126S_2019_PQ616091_2019-03-04	?	spike	Human	PQ616091	2019-03-04	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616091	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-3132S_2019_PQ616092_2019-03-05	?	spike	Human	PQ616092	2019-03-05	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616092	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-3263S_2019_PQ616093_2019-03-06	?	spike	Human	PQ616093	2019-03-06	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616093	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-4307S_2019_PQ616094_2019-04-16	?	spike	Human	PQ616094	2019-04-16	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616094	Human coronaviruses genetic diversity	Unpublished	?	no
hCoV-229E_Russia_SPE-RII-11131S_2024_PQ616096_2024-03-17	?	spike	Human	PQ616096	2024-03-17	Russia: Saint Petersburg	Europe	Russia	?	Musaeva et al	https://www.ncbi.nlm.nih.gov/nuccore/PQ616096	Human coronaviruses genetic diversity	Unpublished	?	no
